timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B
1390734008.4056849,NULL,NULL,0.0,0.0,117.27076102923293,0.0,0.0,0.0,NULL
1390734009.858505,NULL,NULL,0.0,NULL,117.27076102923293,0.0,0.0,0.0,NULL
1390734010.9402781,NULL,NULL,0.0,NULL,119.40142553590769,0.0,0.0,0.0,NULL
1390734012.0308571,NULL,NULL,0.0,NULL,117.27076102923293,0.0,0.0,0.0,NULL
1390734013.077312,NULL,NULL,0.0,NULL,117.27076102923293,0.0,0.0,0.0,NULL
1390734014.1422181,NULL,NULL,0.0,NULL,119.40142553590769,0.0,0.0,0.0,NULL
1390734015.187674,NULL,NULL,0.0,NULL,117.27076102923293,0.0,0.0,0.0,NULL
1390734016.272269,NULL,NULL,0.0,0.0,117.27076102923293,0.0,0.0,0.0,NULL
1390734016.8594561,NULL,NULL,0.0,0.0,119.40142553590769,0.0,0.0,0.0,NULL
1390734019.3994429,NULL,NULL,0.0,0.0,117.27076102923293,0.0,0.0,0.0,NULL
1390734047.975605,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734049.0146141,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734050.0351491,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734051.1266451,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734052.134789,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734053.1737139,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734054.43978,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734055.579087,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734056.6219831,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734057.6477449,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B
1390734058.6712611,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734059.107255,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734059.946919,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734060.9256389,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734062.701169,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734063.796422,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734064.833945,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734065.8894141,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734066.902854,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734068.0151219,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734068.8516729,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734069.318012,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734070.3648889,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734071.2925849,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734072.317589,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734074.037874,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734075.1348569,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734076.1397431,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734077.1721711,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734078.243504,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734079.351222,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734080.4309609,NULL,NULL,0.0,NULL,NULL,NULL,NULL,0.0,NULL
1390734081.4573441,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734082.4616389,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734083.4859099,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.0,NULL
1390734084.5063131,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734084.908246,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734086.560019,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734087.623081,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734088.65622,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734089.7709401,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734090.7924249,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734091.826123,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL
1390734092.8501079,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734093.1846881,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734094.183224,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734095.1276231,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734096.1963029,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734097.147006,NULL,NULL,0.0,0.0,NULL,NULL,0.0,0.0,NULL
1390734098.8976009,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
1390734100.0050061,NULL,NULL,0.0,NULL,NULL,NULL,0.0,0.0,NULL
