timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B
1390604390.372824,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604391.4179981,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604392.4774539,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604393.37568,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604394.435173,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604396.029649,NULL,NULL,NULL,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604397.1023779,NULL,NULL,NULL,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604398.2288599,NULL,NULL,NULL,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604399.240716,NULL,NULL,NULL,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604400.3759811,NULL,NULL,NULL,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604412.387207,NULL,NULL,NULL,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604412.7980371,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604413.7809889,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604415.413249,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604416.4663119,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604417.4963911,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604418.4981501,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604419.54269,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604420.587641,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604421.5932961,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604422.692384,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604423.718689,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604424.762579,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604425.801451,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604426.824789,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604427.8566129,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604428.8372331,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604429.4023581,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604430.2329149,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604431.270787,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604432.242661,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604433.248986,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604434.289196,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604435.231118,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604436.2850051,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604437.215934,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604438.3748889,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604439.449873,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604440.8790359,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B
1390604441.948807,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604442.976733,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604444.0085299,NULL,NULL,0.0,NULL,123.66273099984973,NULL,NULL,0.0,NULL
1390604445.0718551,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604446.2063999,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604447.3236051,NULL,NULL,0.0,NULL,123.66273099984973,NULL,NULL,0.0,NULL
1390604470.876055,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604471.2601941,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604472.2158599,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604473.3008959,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604474.9157419,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604475.967061,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604477.037087,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604478.1644139,NULL,NULL,0.0,NULL,123.66273099984973,NULL,NULL,0.0,NULL
1390604479.2326779,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604480.260736,NULL,NULL,0.0,NULL,121.53208219277995,NULL,NULL,0.0,NULL
1390604481.287992,NULL,NULL,0.0,NULL,123.66273099984973,NULL,NULL,0.0,NULL
1390604482.296464,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604494.3172519,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
timestamp,000D6F00029C2AEB,000D6F0003561F98,000D6F0003562DF4,000D6F000353AE48,000D6F00029C2934,000D6F0003562CA8,000D6F0003562D88,000D6F0003562C9D,000D6F00029C1C2B
1390604494.751086,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604496.340178,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604497.372061,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604498.4710619,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604499.5478981,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604500.552685,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604501.567225,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604502.570488,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604503.6136861,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604504.682899,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604505.7127659,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604506.7679219,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604507.808038,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604508.8647621,NULL,NULL,0.0,0.0,123.66273099984973,NULL,NULL,0.0,NULL
1390604509.8970621,NULL,NULL,0.0,0.0,121.53208219277995,NULL,NULL,0.0,NULL
1390604510.684664,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604511.2949281,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604512.534878,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604513.90505,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604514.984905,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604516.07552,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604517.1110251,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604518.1542571,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604519.159188,NULL,NULL,0.0,NULL,123.66273099984973,NULL,0.0,0.0,NULL
1390604520.2719131,NULL,NULL,0.0,NULL,121.53208219277995,NULL,0.0,0.0,NULL
1390604520.829248,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604521.67907,NULL,NULL,0.0,0.0,123.66273099984973,NULL,0.0,0.0,NULL
1390604522.6277399,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
1390604523.6982751,NULL,NULL,0.0,0.0,121.53208219277995,NULL,0.0,0.0,NULL
